SL.NO,COUNTRY,TOTAL CASES,NEW CASES,TOTAL DEATHS,NEW DEATHS,TOTAL RECOVERED,NEW RECOVERED,ACTIVE CASES,CRITICAL CASES,CASES/MILLION,DEATHS/MILLION,TOTAL TESTS,TESTS/MILLION,POPULATION,CONTINENT
57,Kazakhstan,"226,767","+1,082","2,873 ",0,"208,074",+703,"15,820",221,"11,976",152,"8,059,566","425,647","18,934,863 ",Asia
58,Greece,"223,789",0,"7,196 ",0,"190,188",0,"26,405",605,"21,545",693,"5,880,791","566,171","10,386,944 ",Europe
59,Denmark,"222,629",+787,"2,396 ",+1,"211,356",+628,"8,877",41,"38,341",413,"21,245,537","3,658,847","5,806,620 ",Europe
60,Palestine,"215,984","+2,193","2,343 ",+29,"191,839","+2,080","21,802",187,"41,660",452,"1,316,382","253,909","5,184,460 ",Asia
61,Kuwait,"212,169",0,"1,186 ",0,"196,821",0,"14,162",215,"49,170",275,"1,923,896","445,864","4,314,985 ",Asia
62,Costa Rica,"210,447",0,"2,886 ",0,"189,682",0,"17,879",130,"41,047",563,"743,550","145,029","5,126,917 ",North America
63,Moldova,"207,012",0,"4,402 ",0,"180,763",0,"21,847",335,"51,402","1,093","778,686","193,351","4,027,320 ",Europe
64,Lithuania,"206,889",+570,"3,427 ",+8,"192,484",+366,"10,978",127,"76,760","1,271","2,234,880","829,190","2,695,257 ",Europe
65,Slovenia,"202,573","+1,112","3,948 ",+7,"188,315","+1,203","10,310",83,"97,431","1,899","987,738","475,070","2,079,140 ",Europe
66,Egypt,"192,195",0,"11,384 ",0,"148,089",0,"32,722",90,"1,854",110,"1,000,000","9,644","103,689,022 ",Africa
67,Guatemala,"183,985",0,"6,599 ",0,"169,149",0,"8,237",5,"10,138",364,"983,629","54,200","18,148,201 ",North America
68,Paraguay,"183,348",0,"3,554 ",0,"152,280",0,"27,514",354,"25,485",494,"821,392","114,174","7,194,224 ",South America
69,Armenia,"180,141",+854,"3,282 ",+5,"166,913",+211,"9,946",0,"60,712","1,106","784,266","264,315","2,967,161 ",Asia
70,Honduras,"179,515",+590,"4,373 ",+13,"68,892",+167,"106,250",451,"17,924",437,"481,067","48,033","10,015,327 ",North America
71,Ethiopia,"178,108",0,"2,573 ",0,"144,488",0,"31,047",591,"1,523",22,"2,240,827","19,160","116,956,221 ",Africa
72,Qatar,"171,212",0,268 ,0,"158,853",0,"12,091",128,"60,977",95,"1,635,175","582,368","2,807,805 ",Asia
73,Nigeria,"161,074",0,"2,018 ",0,"146,072",0,"12,984",10,768,10,"1,684,305","8,031","209,714,686 ",Africa
74,Oman,"148,558",+548,"1,617 ",+3,"137,544",+516,"9,397",82,"28,583",311,"1,550,000","298,222","5,197,474 ",Asia
75,Libya,"148,175","+1,054","2,422  ",+16,"134,923","+1,155","10,830",0,"21,360",349,"800,426","115,384","6,937,038 ",Africa
76,Bosnia and Herzegovina,"148,163","+1,726","5,672 ",+35,"122,680",+573,"19,811",0,"45,361","1,737","727,664","222,777","3,266,338 ",Europe
77,Venezuela,"147,028",0,"1,451 ",0,"138,411",0,"7,166",139,"5,181",51,"3,006,349","105,936","28,378,841 ",South America
78,Myanmar,"142,190",+11,"3,203 ",0,"131,751",+3,"7,236",0,"2,601",59,"2,517,197","46,046","54,667,270 ",Asia
79,Bahrain,"132,369",0,487 ,0,"125,503",0,"6,379",58,"75,954",279,"3,336,305","1,914,392","1,742,749 ",Asia
80,Albania,"118,492",0,"2,077 ",0,"81,810",0,"34,605",46,"41,206",722,"512,682","178,289","2,875,572 ",Europe
81,Algeria,"115,540",0,"3,045 ",0,"80,103",0,"32,392",10,"2,602",69,0,0,"44,407,000 ",Africa
82,North Macedonia,"115,222","+1,293","3,388 ",+24,"99,015",+339,"12,819",124,"55,307","1,626","575,162","276,080","2,083,313 ",Europe
83,Kenya,"115,031",0,"1,925 ",0,"88,781",0,"24,325",104,"2,107",35,"1,379,990","25,274","54,601,249 ",Africa
84,S. Korea,"96,849",+469,"1,686 ",+8,"88,814",+559,"6,349",100,"1,888",33,"7,171,510","139,794","51,300,408 ",Asia
85,Latvia,"95,420",+818,"1,789 ",+12,"85,465",0,"8,166",77,"50,989",956,"1,702,527","909,774","1,871,373 ",Europe
86,Estonia,"89,331","+1,784",745 ,+6,"60,743",+367,"27,843",69,"67,310",561,"1,055,353","795,193","1,327,166 ",Europe
87,Sri Lanka,"88,524",+132,534 ,+2,"85,725",+756,"2,265",0,"4,122",25,"2,274,509","105,906","21,476,694 ",Asia
88,Ghana,"88,228",0,698 ,0,"83,829",0,"3,701",66,"2,798",22,"950,041","30,134","31,527,699 ",Africa
